name,total_bond_types,total_angle_types,total_dihedral_types,Tg,Cp_KJ/Kg-K,Cp_J/mol-K
poly_iso_butyl_acrylate,7,13,10,249,1.8108,232.09
poly_n_butyl_acrylate,7,13,11,218,1.8201,233.28
poly_ethyl_acrylate,7,12,9,249,1.7867,178.88
poly_methyl_acrylate,7,11,9,279,1.765,151.99
poly_1_4_butadiene,4,5,5,171,1.96,106
Poly_1_butene,2,3,3,249,2.086,117.02
Polyethylene,2,2,1,252,1.555,21.81
Polyisobutene,2,3,2,200,1.962,110.09
Poly_2_methylbutadiene,4,6,5,200,1.911,130.2
Poly_4_methyl_1pentene,2,3,3,303,1.728,145.4
Poly_1_pentene,2,3,3,233,2.058,144.34
Polypropylene,2,3,2,260,1.622,68.24
Poly_n-butyl_methacrylate,7,13,11,293,1.8524,263.41
Poly_i_butyl_methacrylate,6,10,9,326,1.571,223.4
Poly_ethyl_methacrylate,7,13,10,338,1.4666,167.42
Poly_hexyl_methacrylate,7,13,11,268,1.901,324.83
Polymethacrylic_acid,6,9,7,,1.307,112.5
Polymethacrylamide,6,10,9,,1.395,118.7
Polymethyl_methacrylate,7,11,8,378,1.3755,137.72
Polystyrene,5,7,5,373,1.223,127.38
Poly_alpha_methylstyrene,5,8,6,441,1.2752,150.7
Poly_p-methylstyrene,5,7,5,380,1.2743,150.6
Poly_acrylonitrile,4,5,3,378,1.297,68.83
Poly_chlorotrifluoroethylene,4,7,2,325,0.85945,100.1
Polytetrafluroethylene,3,4,2,240,0.9016,45.09
Polytrifluroethylene,4,7,3,304,1.078,88.4
Poly_vinyl_chloride,4,6,2,354,0.9496,59.35
Poly_vinyl_fluoride,4,6,2,314,1.301,59.91
Poly_p-phenylene,2,2,2,,1.117,85.04
Poly_vinyl_acetate,7,11,8,304,1.183,101.86
Poly_vinyl_alcohol,5,7,4,358,1.546,68.11
Poly_vinyl_benzoate,9,13,8,347,1.1025,163.35
Poly_p-xylylene,4,5,3,286,1.3022,135.622
Nylon612,11,21,12,319,1.5926,494.48
Nylon66,11,21,12,323,1.4638,331.3
Nylon69,11,21,12,331,1.5204,408.08
Nylon610,11,21,12,323,1.5644,441.82
Nylon6,8,14,8,313,1.5023,170
Nylon12,8,14,8,314,1.6952,334.49
Nylon11,8,14,8,316,1.7507,320.91
Poly_L_alanine,8,13,5,,1.315,93.47
Poly_L_asparagine,10,17,7,,1.218,139
Polyglycine,7,10,5,,1.17,66.75
Poly_L_methionine,9,18,6,,1.347,176.7
Poly_L_phenylalanine,11,18,8,,1.153,169.7
Poly_L_serine,9,15,8,,1.297,112.9
Poly_L_valine,8,14,7,,1.455,144.2
Poly_butylene_adipate,10,18,12,199,1.9706,394.595
Poly_butylene_terephthalate,12,19,11,248,1.6134,355.311
Poly_ethylene_terephthalate,11,16,8,342,1.172,225.2
Poly_tridecanolactone,6,9,8,237,1.79,380
Polycaprolactone,8,13,10,209,1.4229,162.42
Polyglycolide,6,8,4,318,1.127,65.42
Poly_beta_propiolactone,8,12,7,249,1.878,135.354
Poly_ethylene_oxalate,9,13,10,306,1.1175,129.705
Poly_ethylene_sebacate,10,18,13,245,1.9245,439.34
"Poly_oxy-2,6-dimethyl-1,4-phenylene",6,7,4,482,1.2459,149.7
Poly_oxyethylene,5,7,4,206,1.257,55.36
Poly_oxymethylene,3,3,1,190,1.283,38.52
Poly_oxy_1_4_phenylene,4,4,3,358,1.185,109.1
Poly_oxy_propylene,5,7,4,198,1.915,111.23
Poly_oxytetramethylene,5,8,6,189,1.985,143.15
Poly_oxytrimethylene,5,8,5,195,1.373,79.73
Poly_diethyl_siloxane,6,9,3,135,1.6184,165.417
Poly_dimethyl_itaconate,7,11,8,377,1.3183,208.507
Poly_dimethyl_siloxane,5,7,1,146,1.591,118
Poly_4_hydroxybenzoic_acid,7,8,3,434,1.0207,122.6
PAS,5,8,4,492.6,1.009,141.4
