name,Mol_Wt,Tg,Cp_KJ/Kg-K,Cp_J/mol-K
poly_iso_butyl_acrylate,128.17,249,1.8108,232.09
poly_n_butyl_acrylate,128.17,218,1.8201,233.28
poly_ethyl_acrylate,100.12,249,1.7867,178.88
poly_methyl_acrylate,86.09,279,1.765,151.99
poly_1_4_butadiene,54.09,171,1.96,106
Poly_1_butene,56.11,249,2.086,117.02
Polyethylene,14.03,252,1.555,21.81
Polyisobutene,56.11,200,1.962,110.09
Poly_2_methylbutadiene,68.12,200,1.911,130.2
Poly_4_methyl_1pentene,84.16,303,1.728,145.4
Poly_1_pentene,70.14,233,2.058,144.34
Polypropylene,42.08,260,1.622,68.24
Poly_n-butyl_methacrylate,142.2,293,1.8524,263.41
Poly_i_butyl_methacrylate,142.2,326,1.571,223.4
Poly_ethyl_methacrylate,114.15,338,1.4666,167.42
Poly_hexyl_methacrylate,170.25,268,1.901,324.83
Polymethacrylic_acid,86.09,,1.307,112.5
Polymethacrylamide,85.11,,1.395,118.7
Polymethyl_methacrylate,100.12,378,1.3755,137.72
Polystyrene,104.15,373,1.223,127.38
Poly_alpha_methylstyrene,118.18,441,1.2752,150.7
Poly_p-methylstyrene,118.18,380,1.2743,150.6
Poly_acrylonitrile,53.06,378,1.297,68.83
Poly_chlorotrifluoroethylene,116.7,325,0.85945,100.1
Polytetrafluroethylene,50.01,240,0.9016,45.09
Polytrifluroethylene,82.02,304,1.078,88.4
Poly_vinyl_chloride,62.5,354,0.9496,59.35
Poly_vinyl_fluoride,46.04,314,1.301,59.91
Poly_p-phenylene,76.1,,1.117,85.04
Poly_vinyl_acetate,86.09,304,1.183,101.86
Poly_vinyl_alcohol,44.05,358,1.546,68.11
Poly_vinyl_benzoate,148.16,347,1.1025,163.35
Poly_p-xylylene,104.15,286,1.3022,135.622
Nylon612,310.48,319,1.5926,494.48
Nylon66,226.32,323,1.4638,331.3
Nylon69,268.4,331,1.5204,408.08
Nylon610,282.43,323,1.5644,441.82
Nylon6,113.16,313,1.5023,170
Nylon12,197.32,314,1.6952,334.49
Nylon11,183.3,316,1.7507,320.91
Poly_L_alanine,71.08,,1.315,93.47
Poly_L_asparagine,114.1,,1.218,139
Polyglycine,57.05,,1.17,66.75
Poly_L_methionine,131.19,,1.347,176.7
Poly_L_phenylalanine,147.18,,1.153,169.7
Poly_L_serine,87.08,,1.297,112.9
Poly_L_valine,99.13,,1.455,144.2
Poly_butylene_adipate,200.24,199,1.9706,394.595
Poly_butylene_terephthalate,220.23,248,1.6134,355.311
Poly_ethylene_terephthalate,192.16,342,1.172,225.2
Poly_tridecanolactone,212.34,237,1.79,380
Polycaprolactone,114.15,209,1.4229,162.42
Polyglycolide,58.04,318,1.127,65.42
Poly_beta_propiolactone,72.07,249,1.878,135.354
Poly_ethylene_oxalate,116.07,306,1.1175,129.705
Poly_ethylene_sebacate,228.29,245,1.9245,439.34
"Poly_oxy-2,6-dimethyl-1,4-phenylene",120.15,482,1.2459,149.7
Poly_oxyethylene,44.05,206,1.257,55.36
Poly_oxymethylene,30.03,190,1.283,38.52
Poly_oxy_1_4_phenylene,92.1,358,1.185,109.1
Poly_oxy_propylene,58.08,198,1.915,111.23
Poly_oxytetramethylene,72.11,189,1.985,143.15
Poly_oxytrimethylene,58.08,195,1.373,79.73
Poly_diethyl_siloxane,102.21,135,1.6184,165.417
Poly_dimethyl_itaconate,158.16,377,1.3183,208.507
Poly_dimethyl_siloxane,74.15,146,1.591,118
Poly_4_hydroxybenzoic_acid,120.11,434,1.0207,122.6
PAS,140.16,492.6,1.009,141.4
