name,total_atoms,total_bonds,total_angles,total_dihedrals,Tg,Cp_KJ/Kg-K,Cp_J/mol-K
poly_iso_butyl_acrylate,23,22,40,54,249,1.8108,232.09
poly_n_butyl_acrylate,23,22,40,56,218,1.8201,233.28
poly_ethyl_acrylate,17,16,28,37,249,1.7867,178.88
poly_methyl_acrylate,14,13,22,29,279,1.765,151.99
poly_1_4_butadiene,12,11,18,25,171,1.96,106
Poly_1_butene,14,13,24,29,249,2.086,117.02
Polyethylene,8,7,12,9,252,1.555,21.81
Polyisobutene,14,13,24,27,200,1.962,110.09
Poly_2_methylbutadiene,15,14,24,35,200,1.911,130.2
Poly_4_methyl_1pentene,20,19,36,51,303,1.728,145.4
Poly_1_pentene,17,16,30,40,233,2.058,144.34
Polypropylene,11,10,18,18,260,1.622,68.24
Poly_n-butyl_methacrylate,26,25,46,64,293,1.8524,263.41
Poly_i_butyl_methacrylate,26,25,46,71,326,1.571,223.4
Poly_ethyl_methacrylate,20,19,34,45,338,1.4666,167.42
Poly_hexyl_methacrylate,32,31,58,86,268,1.901,324.83
Polymethacrylic_acid,14,13,22,29,,1.307,112.5
Polymethacrylamide,15,14,24,35,,1.395,118.7
Polymethyl_methacrylate,17,16,28,32,378,1.3755,137.72
Polystyrene,18,18,30,45,373,1.223,127.38
Poly_alpha_methylstyrene,21,21,36,54,441,1.2752,150.7
Poly_p-methylstyrene,21,21,36,51,380,1.2743,150.6
Poly_acrylonitrile,9,8,13,12,378,1.297,68.83
Poly_chlorotrifluoroethylene,8,7,12,11,325,0.85945,100.1
Polytetrafluroethylene,8,7,12,13,240,0.9016,45.09
Polytrifluroethylene,8,7,12,15,304,1.078,88.4
Poly_vinyl_chloride,8,7,12,12,354,0.9496,59.35
Poly_vinyl_fluoride,8,7,12,12,314,1.301,59.91
Poly_p-phenylene,12,12,18,30,,1.117,85.04
Poly_vinyl_acetate,14,13,22,29,304,1.183,101.86
Poly_vinyl_alcohol,9,8,13,16,358,1.546,68.11
Poly_vinyl_benzoate,21,21,34,54,347,1.1025,163.35
Poly_p-xylylene,18,18,30,42,286,1.3022,135.622
Nylon612,58,57,108,185,319,1.5926,494.48
Nylon66,40,39,72,119,323,1.4638,331.3
Nylon69,49,48,90,152,331,1.5204,408.08
Nylon610,52,51,96,163,323,1.5644,441.82
Nylon6,21,20,36,55,313,1.5023,170
Nylon12,39,38,72,121,314,1.6952,334.49
Nylon11,36,35,66,110,316,1.7507,320.91
Poly_L_alanine,12,11,18,23,,1.315,93.47
Poly_L_asparagine,20,19,31,49,,1.218,139
Polyglycine,10,9,13,18,,1.17,66.75
Poly_L_methionine,19,18,31,38,,1.347,176.7
Poly_L_phenylalanine,22,22,36,59,,1.153,169.7
Poly_L_serine,13,12,19,28,,1.297,112.9
Poly_L_valine,18,17,30,41,,1.455,144.2
Poly_butylene_adipate,32,31,56,94,199,1.9706,394.595
Poly_butylene_terephthalate,30,30,50,84,248,1.6134,355.311
Poly_ethylene_terephthalate,24,24,38,62,342,1.172,225.2
Poly_tridecanolactone,41,40,76,129,237,1.79,380
Polycaprolactone,20,19,34,55,209,1.4229,162.42
Polyglycolide,8,7,10,12,318,1.127,65.42
Poly_beta_propiolactone,11,10,16,24,249,1.878,135.354
Poly_ethylene_oxalate,14,13,20,31,306,1.1175,129.705
Poly_ethylene_sebacate,38,37,68,119,245,1.9245,439.34
"Poly_oxy-2,6-dimethyl-1,4-phenylene",19,19,31,44,482,1.2459,149.7
Poly_oxyethylene,9,8,13,16,206,1.257,55.36
Poly_oxymethylene,6,5,7,3,190,1.283,38.52
Poly_oxy_1_4_phenylene,13,13,19,32,358,1.185,109.1
Poly_oxy_propylene,12,11,19,29,198,1.915,111.23
Poly_oxytetramethylene,15,14,25,35,189,1.985,143.15
Poly_oxytrimethylene,12,11,19,24,195,1.373,79.73
Poly_diethyl_siloxane,18,17,31,39,135,1.6184,165.417
Poly_dimethyl_itaconate,23,22,38,49,377,1.3183,208.507
Poly_dimethyl_siloxane,12,11,19,21,146,1.591,118
Poly_4_hydroxybenzoic_acid,15,15,22,37,434,1.0207,122.6
PAS,47,50,80,140,492.6,1.009,141.4
