name,H6_N1_C1,C1_C2_O1,N1_C1_H2,H6_N1_H6,C1_C1_N1,C1_C2_H4,Tg,Cp_KJ/Kg-K,Cp_J/mol-K
poly_iso_butyl_acrylate,0,1,0,0,0,0,249,1.8108,232.09
poly_n_butyl_acrylate,0,1,0,0,0,0,218,1.8201,233.28
poly_ethyl_acrylate,0,1,0,0,0,0,249,1.7867,178.88
poly_methyl_acrylate,0,1,0,0,0,0,279,1.765,151.99
poly_1_4_butadiene,0,0,0,0,0,0,171,1.96,106
Poly_1_butene,0,0,0,0,0,0,249,2.086,117.02
Polyethylene,0,0,0,0,0,0,252,1.555,21.81
Polyisobutene,0,0,0,0,0,0,200,1.962,110.09
Poly_2_methylbutadiene,0,0,0,0,0,0,200,1.911,130.2
Poly_4_methyl_1pentene,0,0,0,0,0,0,303,1.728,145.4
Poly_1_pentene,0,0,0,0,0,0,233,2.058,144.34
Polypropylene,0,0,0,0,0,0,260,1.622,68.24
Poly_n-butyl_methacrylate,0,1,0,0,0,0,293,1.8524,263.41
Poly_i_butyl_methacrylate,0,1,0,0,0,0,326,1.571,223.4
Poly_ethyl_methacrylate,0,1,0,0,0,0,338,1.4666,167.42
Poly_hexyl_methacrylate,0,1,0,0,0,0,268,1.901,324.83
Polymethacrylic_acid,0,1,0,0,0,0,,1.307,112.5
Polymethacrylamide,0,1,0,1,0,0,,1.395,118.7
Polymethyl_methacrylate,0,1,0,0,0,0,378,1.3755,137.72
Polystyrene,0,0,0,0,0,0,373,1.223,127.38
Poly_alpha_methylstyrene,0,0,0,0,0,0,441,1.2752,150.7
Poly_p-methylstyrene,0,0,0,0,0,0,380,1.2743,150.6
Poly_acrylonitrile,0,0,0,0,0,0,378,1.297,68.83
Poly_chlorotrifluoroethylene,0,0,0,0,0,0,325,0.85945,100.1
Polytetrafluroethylene,0,0,0,0,0,0,240,0.9016,45.09
Polytrifluroethylene,0,0,0,0,0,0,304,1.078,88.4
Poly_vinyl_chloride,0,0,0,0,0,0,354,0.9496,59.35
Poly_vinyl_fluoride,0,0,0,0,0,0,314,1.301,59.91
Poly_p-phenylene,0,0,0,0,0,0,,1.117,85.04
Poly_vinyl_acetate,0,1,0,0,0,0,304,1.183,101.86
Poly_vinyl_alcohol,0,0,0,0,0,0,358,1.546,68.11
Poly_vinyl_benzoate,0,0,0,0,0,0,347,1.1025,163.35
Poly_p-xylylene,0,0,0,0,0,0,286,1.3022,135.622
Nylon612,3,2,4,1,2,1,319,1.5926,494.48
Nylon66,3,2,4,1,2,1,323,1.4638,331.3
Nylon69,3,2,4,1,2,1,331,1.5204,408.08
Nylon610,3,2,4,1,2,1,323,1.5644,441.82
Nylon6,2,1,2,1,1,1,313,1.5023,170
Nylon12,2,1,2,1,1,1,314,1.6952,334.49
Nylon11,2,1,2,1,1,1,316,1.7507,320.91
Poly_L_alanine,2,1,1,1,1,1,,1.315,93.47
Poly_L_asparagine,4,2,2,2,2,1,,1.218,139
Polyglycine,2,1,2,1,0,0,,1.17,66.75
Poly_L_methionine,2,1,1,1,1,1,,1.347,176.7
Poly_L_phenylalanine,2,1,1,1,1,1,,1.153,169.7
Poly_L_serine,2,1,1,1,1,1,,1.297,112.9
Poly_L_valine,2,1,1,1,1,1,,1.455,144.2
Poly_butylene_adipate,0,2,0,0,0,1,199,1.9706,394.595
Poly_butylene_terephthalate,0,0,0,0,0,0,248,1.6134,355.311
Poly_ethylene_terephthalate,0,0,0,0,0,0,342,1.172,225.2
Poly_tridecanolactone,0,1,0,0,0,0,237,1.79,380
Polycaprolactone,0,1,0,0,0,1,209,1.4229,162.42
Polyglycolide,0,1,0,0,0,1,318,1.127,65.42
Poly_beta_propiolactone,0,1,0,0,0,1,249,1.878,135.354
Poly_ethylene_oxalate,0,0,0,0,0,0,306,1.1175,129.705
Poly_ethylene_sebacate,0,2,0,0,0,1,245,1.9245,439.34
"Poly_oxy-2,6-dimethyl-1,4-phenylene",0,0,0,0,0,0,482,1.2459,149.7
Poly_oxyethylene,0,0,0,0,0,0,206,1.257,55.36
Poly_oxymethylene,0,0,0,0,0,0,190,1.283,38.52
Poly_oxy_1_4_phenylene,0,0,0,0,0,0,358,1.185,109.1
Poly_oxy_propylene,0,0,0,0,0,0,198,1.915,111.23
Poly_oxytetramethylene,0,0,0,0,0,0,189,1.985,143.15
Poly_oxytrimethylene,0,0,0,0,0,0,195,1.373,79.73
Poly_diethyl_siloxane,0,0,0,0,0,0,135,1.6184,165.417
Poly_dimethyl_itaconate,0,2,0,0,0,0,377,1.3183,208.507
Poly_dimethyl_siloxane,0,0,0,0,0,0,146,1.591,118
Poly_4_hydroxybenzoic_acid,0,0,0,0,0,0,434,1.0207,122.6
PAS,0,0,0,0,0,0,492.6,1.009,141.4
